Age,Gender,Height,Weight,Activity Level,Dietary Preference,Fitness Goal,Daily Calorie Target,Protein,Carbohydrates,Fat
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2000,150,250,60
32,Female,165,60,Sedentary,Vegetarian,Maintenance,1800,100,220,50
55,Male,175,90,Lightly Active,Omnivore,Weight Loss,1800,130,200,60
28,Female,170,70,Very Active,Vegetarian,Muscle Gain,2500,175,350,80
40,Male,190,110,Moderately Active,Omnivore,Weight Loss,2200,160,280,70
62,Female,160,55,Sedentary,Vegetarian,Maintenance,1500,80,180,40
22,Male,185,95,Very Active,Omnivore,Muscle Gain,3000,200,400,100
38,Female,168,65,Lightly Active,Vegetarian,Weight Loss,1600,100,200,50
27,Female,172,75,Moderately Active,Vegetarian,Maintenance,2000,120,250,60
45,Male,180,100,Very Active,Omnivore,Weight Loss,2400,180,300,80
32,Female,165,65,Lightly Active,Vegetarian,Maintenance,1800,80,200,50
55,Male,175,90,Sedentary,Omnivore,Weight Loss,1800,100,200,50
28,Female,170,70,Very Active,Vegetarian,Muscle Gain,2500,150,300,70
48,Female,160,60,Sedentary,Vegetarian,Maintenance,1600,70,180,40
62,Male,170,85,Lightly Active,Omnivore,Weight Loss,1800,100,200,50
22,Female,168,55,Moderately Active,Vegetarian,Muscle Gain,2200,120,250,60
38,Male,185,100,Very Active,Omnivore,Muscle Gain,3000,180,350,80
21,Female,158,50,Moderately Active,Vegetarian,Weight Loss,1800,80,200,50
58,Female,163,75,Sedentary,Vegetarian,Maintenance,1600,70,180,40
25,Female,165,58,Lightly Active,Omnivore,Weight Loss,1800,80,250,60
38,Male,180,85,Moderately Active,Omnivore,Muscle Gain,2800,150,350,80
62,Female,160,65,Sedentary,Vegetarian,Weight Loss,1500,70,200,40
28,Male,185,90,Very Active,Vegetarian,Muscle Gain,3200,180,400,80
45,Female,170,70,Lightly Active,Vegetarian,Weight Loss,1700,75,220,50
58,Male,175,80,Sedentary,Omnivore,Maintenance,2200,100,280,60
32,Female,168,62,Moderately Active,Vegetarian,Muscle Gain,2400,120,300,70
70,Male,170,75,Lightly Active,Vegetarian,Weight Loss,1600,70,210,40
19,Female,163,55,Very Active,Omnivore,Muscle Gain,2600,140,320,70
55,Male,183,95,Sedentary,Vegetarian,Maintenance,2000,90,250,50
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2000,120,250,60
32,Female,165,65,Lightly Active,Vegetarian,Weight Loss,1600,80,180,50
55,Male,175,95,Sedentary,Vegetarian,Maintenance,2200,100,300,70
68,Female,160,70,Lightly Active,Omnivore,Weight Loss,1400,70,150,40
28,Male,185,90,Very Active,Omnivore,Muscle Gain,3000,180,400,80
38,Female,170,75,Moderately Active,Vegetarian,Maintenance,1800,80,220,60
58,Male,170,85,Sedentary,Omnivore,Maintenance,2000,80,250,60
42,Female,168,60,Very Active,Vegetarian,Muscle Gain,2200,100,300,70
21,Male,190,100,Moderately Active,Vegetarian,Muscle Gain,2800,140,350,90
62,Female,155,55,Sedentary,Vegetarian,Weight Loss,1200,60,120,30
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2000,120,250,60
32,Female,165,65,Sedentary,Vegetarian,Weight Loss,1600,80,200,40
58,Male,175,95,Lightly Active,Vegetarian,Maintenance,2200,100,300,65
40,Female,170,72,Moderately Active,Omnivore,Muscle Gain,2500,150,350,80
28,Male,185,90,Very Active,Vegetarian,Muscle Gain,3000,180,400,90
62,Female,160,60,Sedentary,Omnivore,Maintenance,1800,80,220,50
35,Male,190,100,Very Active,Vegetarian,Weight Loss,2400,140,300,70
22,Female,168,55,Lightly Active,Vegetarian,Weight Loss,1500,70,180,40
55,Male,178,85,Sedentary,Omnivore,Maintenance,2000,100,250,60
48,Female,172,78,Moderately Active,Vegetarian,Weight Loss,1800,90,220,50
25,Male,180,85,Moderately Active,Omnivore,Weight Loss,2200,120,250,60
38,Female,165,68,Lightly Active,Vegetarian,Maintenance,1800,80,200,50
55,Male,175,95,Sedentary,Vegetarian,Weight Loss,1800,80,200,50
62,Female,160,70,Lightly Active,Vegetarian,Weight Loss,1500,70,175,40
28,Male,190,90,Very Active,Omnivore,Muscle Gain,3000,160,350,80
40,Female,170,75,Moderately Active,Vegetarian,Muscle Gain,2200,100,250,60
58,Male,170,80,Sedentary,Vegetarian,Weight Loss,1600,70,180,40
65,Female,155,65,Lightly Active,Omnivore,Maintenance,1500,60,175,40
32,Male,185,100,Very Active,Omnivore,Muscle Gain,3200,180,380,90
45,Female,168,72,Moderately Active,Vegetarian,Weight Loss,1700,70,190,45
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2200,140,250,70
32,Female,165,65,Sedentary,Vegetarian,Muscle Gain,2000,120,200,60
48,Male,175,95,Very Active,Vegetarian,Maintenance,2800,160,350,85
55,Female,160,70,Lightly Active,Omnivore,Weight Loss,1800,100,180,50
28,Male,190,100,Moderately Active,Omnivore,Muscle Gain,3000,180,400,100
62,Female,155,55,Sedentary,Vegetarian,Maintenance,1600,80,160,40
35,Male,170,75,Very Active,Vegetarian,Weight Loss,2400,130,300,70
22,Female,168,58,Lightly Active,Omnivore,Muscle Gain,2200,120,250,60
58,Male,178,85,Moderately Active,Vegetarian,Weight Loss,2000,120,200,60
40,Female,172,78,Sedentary,Omnivore,Maintenance,1800,100,180,50
25,Male,180,85,Moderately Active,Omnivore,Weight Loss,2200,150,250,60
32,Female,165,60,Lightly Active,Vegetarian,Maintenance,1800,80,220,50
55,Male,175,90,Sedentary,Omnivore,Weight Loss,2000,120,200,55
28,Female,170,70,Very Active,Vegetarian,Muscle Gain,2400,160,300,70
62,Female,160,65,Lightly Active,Vegetarian,Weight Loss,1600,70,180,40
38,Male,185,95,Moderately Active,Omnivore,Muscle Gain,2800,200,350,80
21,Female,168,55,Very Active,Vegetarian,Maintenance,2000,100,250,60
40,Male,190,110,Sedentary,Omnivore,Weight Loss,2000,140,200,50
23,Female,172,68,Moderately Active,Vegetarian,Weight Loss,1800,100,200,50
48,Male,178,80,Lightly Active,Vegetarian,Weight Loss,1800,100,200,50
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2200,120,250,60
32,Female,165,65,Lightly Active,Vegetarian,Muscle Gain,2000,100,200,70
48,Male,175,95,Very Active,Omnivore,Weight Loss,2800,150,300,80
55,Female,160,70,Sedentary,Vegetarian,Maintenance,1800,80,220,50
28,Male,190,90,Moderately Active,Omnivore,Muscle Gain,2800,160,350,100
62,Male,170,85,Lightly Active,Vegetarian,Weight Loss,1800,80,200,50
35,Female,170,75,Very Active,Vegetarian,Muscle Gain,2400,120,280,80
22,Female,160,55,Sedentary,Vegetarian,Weight Loss,1600,70,180,40
40,Male,185,100,Moderately Active,Omnivore,Weight Loss,2500,130,280,70
29,Female,175,85,Very Active,Vegetarian,Muscle Gain,2600,130,320,90
25,Male,180,80,Moderately Active,Omnivore,Muscle Gain,3000,180,350,80
38,Female,165,65,Lightly Active,Vegetarian,Weight Loss,1800,100,200,50
55,Male,175,90,Sedentary,Omnivore,Weight Loss,2200,120,250,60
62,Female,160,70,Moderately Active,Vegetarian,Maintenance,2000,100,220,60
28,Male,190,100,Very Active,Omnivore,Muscle Gain,3500,200,400,100
42,Female,170,75,Lightly Active,Vegetarian,Weight Loss,1700,90,180,45
68,Male,170,85,Sedentary,Omnivore,Maintenance,2000,100,220,60
22,Female,165,55,Very Active,Vegetarian,Muscle Gain,2500,150,300,70
35,Male,185,95,Moderately Active,Omnivore,Weight Loss,2500,140,280,70
58,Female,155,60,Sedentary,Vegetarian,Maintenance,1800,80,200,50
25,Female,165,55,Lightly Active,Omnivore,Weight Loss,1800,100,200,60
32,Male,180,80,Moderately Active,Omnivore,Muscle Gain,2800,180,350,80
58,Female,160,70,Sedentary,Vegetarian,Weight Loss,1500,80,150,50
38,Male,190,95,Very Active,Omnivore,Muscle Gain,3200,200,400,100
22,Female,170,60,Lightly Active,Vegetarian,Maintenance,2000,100,250,70
65,Male,175,85,Sedentary,Omnivore,Weight Loss,1700,90,180,60
40,Female,168,65,Moderately Active,Vegetarian,Muscle Gain,2200,120,280,80
28,Male,185,90,Very Active,Vegetarian,Muscle Gain,3000,150,375,90
52,Female,158,62,Sedentary,Vegetarian,Weight Loss,1400,70,140,40
35,Male,178,75,Moderately Active,Omnivore,Maintenance,2500,130,300,80
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2200,120,250,60
35,Female,165,65,Lightly Active,Vegetarian,Maintenance,1800,80,200,50
55,Female,160,70,Sedentary,Vegetarian,Weight Loss,1500,70,180,40
40,Male,190,95,Very Active,Omnivore,Muscle Gain,3000,180,350,80
28,Female,170,55,Lightly Active,Vegetarian,Maintenance,1800,80,200,50
62,Male,175,85,Moderately Active,Omnivore,Weight Loss,2000,100,220,50
32,Female,168,60,Very Active,Vegetarian,Muscle Gain,2400,100,280,60
21,Male,185,88,Sedentary,Vegetarian,Weight Loss,1800,80,200,50
48,Male,178,90,Moderately Active,Omnivore,Maintenance,2400,120,280,70
38,Female,172,75,Lightly Active,Vegetarian,Weight Loss,1600,70,180,40
25,Male,180,85,Moderately Active,Omnivore,Weight Loss,2200,150,250,60
38,Female,165,62,Lightly Active,Vegetarian,Maintenance,1800,80,220,50
55,Female,160,70,Sedentary,Vegetarian,Weight Loss,1600,70,180,40
28,Male,190,95,Very Active,Omnivore,Muscle Gain,3000,200,350,80
62,Male,175,80,Lightly Active,Omnivore,Maintenance,2000,100,200,60
32,Female,170,68,Moderately Active,Vegetarian,Muscle Gain,2200,120,280,60
21,Female,168,55,Sedentary,Vegetarian,Weight Loss,1500,60,160,40
40,Male,185,90,Very Active,Omnivore,Muscle Gain,3200,220,400,90
27,Female,172,75,Moderately Active,Vegetarian,Maintenance,1900,80,210,50
19,Male,183,78,Lightly Active,Omnivore,Weight Loss,2000,120,200,50
25,Male,180,85,Moderately Active,Omnivore,Weight Loss,2200,150,250,60
32,Female,165,60,Lightly Active,Vegetarian,Muscle Gain,2000,120,200,50
55,Male,175,90,Sedentary,Omnivore,Weight Loss,1800,120,200,50
68,Female,160,70,Sedentary,Vegetarian,Maintenance,1600,80,180,40
